Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner
LaLiga,18,"Sun, 14/01/1951",Real Madrid,CF Barcelona,,4:1,Real Madrid
LaLiga,3,"Sun, 24/09/1950",CF Barcelona,Real Madrid,,7:2,FC Barcelona
LaLiga,16,"Sun, 15/01/1950",CF Barcelona,Real Madrid,100.000,2:3,Real Madrid
LaLiga,3,"Sun, 18/09/1949",Real Madrid,CF Barcelona,,6:1,Real Madrid
LaLiga,15,"Sun, 09/01/1949",CF Barcelona,Real Madrid,,3:1,FC Barcelona
LaLiga,2,"Sun, 19/09/1948",Real Madrid,CF Barcelona,,1:2,FC Barcelona
LaLiga,17,"Sun, 25/01/1948",CF Barcelona,Real Madrid,,4:2,FC Barcelona
LaLiga,4,"Sun, 12/10/1947",Real Madrid,CF Barcelona,,1:1,Draw
LaLiga,24,"Sun, 30/03/1947",CF Barcelona,Real Madrid,,3:2,FC Barcelona
LaLiga,11,"Sun, 01/12/1946",Real Madrid,CF Barcelona,,2:1,Real Madrid
LaLiga,22,"Sun, 03/03/1946",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,9,"Sun, 25/11/1945",Real Madrid,CF Barcelona,,3:2,Real Madrid
LaLiga,21,"Sun, 25/03/1945",CF Barcelona,Real Madrid,,5:0,FC Barcelona
LaLiga,8,"Sun, 12/11/1944",Real Madrid,CF Barcelona,,1:0,Real Madrid
LaLiga,26,"Sun, 09/04/1944",CF Barcelona,Real Madrid,,1:2,Real Madrid
LaLiga,13,"Sun, 02/01/1944",Real Madrid,CF Barcelona,,0:1,FC Barcelona
Copa del Rey,Semi-Finals,"Sun, 13/06/1943",Real Madrid,CF Barcelona,,11:1,Real Madrid
Copa del Rey,Semi-Finals,"Sun, 06/06/1943",CF Barcelona,Real Madrid,,3:0,FC Barcelona
LaLiga,14,"Sun, 10/01/1943",CF Barcelona,Real Madrid,,5:5,Draw
LaLiga,1,"Sun, 27/09/1942",Real Madrid,CF Barcelona,,3:0,Real Madrid
LaLiga,17,"Sun, 25/01/1942",CF Barcelona,Real Madrid,,0:2,Real Madrid
LaLiga,4,"Sun, 19/10/1941",Real Madrid,CF Barcelona,,4:3,Real Madrid
LaLiga,21,"Sun, 23/02/1941",Real Madrid,CF Barcelona,,1:2,FC Barcelona
LaLiga,10,"Sun, 01/12/1940",CF Barcelona,Real Madrid,,3:0,FC Barcelona
LaLiga,20,"Sun, 14/04/1940",FC Barcelona,Real Madrid FC,,0:0,Draw
LaLiga,9,"Sun, 28/01/1940",Real Madrid FC,FC Barcelona,,2:1,Real Madrid
Copa del Rey,Final,"Sun, 21/06/1936",Madrid Foot-ball Club,FC Barcelona,,2:1,Real Madrid
LaLiga,18,"Sun, 22/03/1936",Madrid Foot-ball Club,FC Barcelona,,3:0,Real Madrid
LaLiga,7,"Sun, 22/12/1935",FC Barcelona,Madrid Foot-ball Club,,0:3,Real Madrid
LaLiga,21,"Sun, 21/04/1935",FC Barcelona,Madrid Foot-ball Club,,5:0,FC Barcelona
LaLiga,10,"Sun, 03/02/1935",Madrid Foot-ball Club,FC Barcelona,,8:2,Real Madrid
LaLiga,13,"Sun, 28/01/1934",Madrid Foot-ball Club,FC Barcelona,,4:0,Real Madrid
LaLiga,4,"Sun, 26/11/1933",FC Barcelona,Madrid Foot-ball Club,,1:2,Real Madrid
LaLiga,15,"Sun, 05/03/1933",Madrid Foot-ball Club,FC Barcelona,,2:1,Real Madrid
LaLiga,6,"Sun, 01/01/1933",FC Barcelona,Madrid Foot-ball Club,,1:1,Draw
LaLiga,18,"Sun, 03/04/1932",FC Barcelona,Madrid Foot-ball Club,,2:2,Draw
LaLiga,9,"Sun, 31/01/1932",Madrid Foot-ball Club,FC Barcelona,,2:0,Real Madrid
LaLiga,18,"Sun, 05/04/1931",FC Barcelona,Real Madrid FC,,3:1,FC Barcelona
LaLiga,9,"Sun, 01/02/1931",Real Madrid FC,FC Barcelona,,0:0,Draw
LaLiga,18,"Sun, 30/03/1930",Real Madrid FC,FC Barcelona,,5:1,Real Madrid
LaLiga,9,"Sun, 26/01/1930",FC Barcelona,Real Madrid FC,,1:4,Real Madrid
LaLiga,11,"Thu, 09/05/1929",Real Madrid FC,FC Barcelona,,0:1,FC Barcelona
LaLiga,2,"Sun, 17/02/1929",FC Barcelona,Real Madrid FC,,1:2,Real Madrid
Copa del Rey,Quarter-Finals,"Sun, 25/04/1926",FC Barcelona,Real Madrid FC,,3:0,FC Barcelona
Copa del Rey,Quarter-Finals,"Sun, 18/04/1926",Real Madrid FC,FC Barcelona,,1:5,FC Barcelona
Copa del Rey,Semi-Finals,"Sat, 15/04/1916",Madrid Foot-ball Club,FC Barcelona,,4:2AET,Real Madrid
Copa del Rey,Semi-Finals,"Thu, 13/04/1916",Madrid Foot-ball Club,FC Barcelona,,6:6AET,Draw
Copa del Rey,Semi-Finals,"Sun, 02/04/1916",Madrid Foot-ball Club,FC Barcelona,,4:1,Real Madrid
Copa del Rey,Semi-Finals,"Sun, 26/03/1916",FC Barcelona,Madrid Foot-ball Club,,2:1,FC Barcelona
Copa del Rey,Semi-Finals,"Tue, 13/05/1902",FC Barcelona,Madrid Foot-ball Club,,3:1,FC Barcelona
