Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner,FCB_Goals,RMA_Goals,Total_Goals,Attendance_Clean,Formatted_Date,Year
LaLiga,21,"Sun, 23/02/1941",Real Madrid,CF Barcelona,,1:2,FC Barcelona,2,1,3,0.0,1941-02-23,1941
LaLiga,10,"Sun, 01/12/1940",CF Barcelona,Real Madrid,,3:0,FC Barcelona,3,0,3,0.0,1940-12-01,1940
LaLiga,20,"Sun, 14/04/1940",FC Barcelona,Real Madrid FC,,0:0,Draw,0,0,0,0.0,1940-04-14,1940
LaLiga,9,"Sun, 28/01/1940",Real Madrid FC,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1940-01-28,1940
Copa del Rey,Final,"Sun, 21/06/1936",Madrid Foot-ball Club,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1936-06-21,1936
LaLiga,18,"Sun, 22/03/1936",Madrid Foot-ball Club,FC Barcelona,,3:0,Real Madrid,0,3,3,0.0,1936-03-22,1936
LaLiga,7,"Sun, 22/12/1935",FC Barcelona,Madrid Foot-ball Club,,0:3,Real Madrid,0,3,3,0.0,1935-12-22,1935
LaLiga,21,"Sun, 21/04/1935",FC Barcelona,Madrid Foot-ball Club,,5:0,FC Barcelona,5,0,5,0.0,1935-04-21,1935
LaLiga,10,"Sun, 03/02/1935",Madrid Foot-ball Club,FC Barcelona,,8:2,Real Madrid,2,8,10,0.0,1935-02-03,1935
LaLiga,13,"Sun, 28/01/1934",Madrid Foot-ball Club,FC Barcelona,,4:0,Real Madrid,0,4,4,0.0,1934-01-28,1934
LaLiga,4,"Sun, 26/11/1933",FC Barcelona,Madrid Foot-ball Club,,1:2,Real Madrid,1,2,3,0.0,1933-11-26,1933
LaLiga,15,"Sun, 05/03/1933",Madrid Foot-ball Club,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1933-03-05,1933
LaLiga,6,"Sun, 01/01/1933",FC Barcelona,Madrid Foot-ball Club,,1:1,Draw,1,1,2,0.0,1933-01-01,1933
LaLiga,18,"Sun, 03/04/1932",FC Barcelona,Madrid Foot-ball Club,,2:2,Draw,2,2,4,0.0,1932-04-03,1932
LaLiga,9,"Sun, 31/01/1932",Madrid Foot-ball Club,FC Barcelona,,2:0,Real Madrid,0,2,2,0.0,1932-01-31,1932
LaLiga,18,"Sun, 05/04/1931",FC Barcelona,Real Madrid FC,,3:1,FC Barcelona,3,1,4,0.0,1931-04-05,1931
LaLiga,9,"Sun, 01/02/1931",Real Madrid FC,FC Barcelona,,0:0,Draw,0,0,0,0.0,1931-02-01,1931
LaLiga,18,"Sun, 30/03/1930",Real Madrid FC,FC Barcelona,,5:1,Real Madrid,1,5,6,0.0,1930-03-30,1930
LaLiga,9,"Sun, 26/01/1930",FC Barcelona,Real Madrid FC,,1:4,Real Madrid,1,4,5,0.0,1930-01-26,1930
LaLiga,11,"Thu, 09/05/1929",Real Madrid FC,FC Barcelona,,0:1,FC Barcelona,1,0,1,0.0,1929-05-09,1929
LaLiga,2,"Sun, 17/02/1929",FC Barcelona,Real Madrid FC,,1:2,Real Madrid,1,2,3,0.0,1929-02-17,1929
Copa del Rey,Quarter-Finals,"Sun, 25/04/1926",FC Barcelona,Real Madrid FC,,3:0,FC Barcelona,3,0,3,0.0,1926-04-25,1926
Copa del Rey,Quarter-Finals,"Sun, 18/04/1926",Real Madrid FC,FC Barcelona,,1:5,FC Barcelona,5,1,6,0.0,1926-04-18,1926
Copa del Rey,Semi-Finals,"Sat, 15/04/1916",Madrid Foot-ball Club,FC Barcelona,,4:2AET,Real Madrid,2,4,6,0.0,1916-04-15,1916
Copa del Rey,Semi-Finals,"Thu, 13/04/1916",Madrid Foot-ball Club,FC Barcelona,,6:6AET,Draw,6,6,12,0.0,1916-04-13,1916
Copa del Rey,Semi-Finals,"Sun, 02/04/1916",Madrid Foot-ball Club,FC Barcelona,,4:1,Real Madrid,1,4,5,0.0,1916-04-02,1916
Copa del Rey,Semi-Finals,"Sun, 26/03/1916",FC Barcelona,Madrid Foot-ball Club,,2:1,FC Barcelona,2,1,3,0.0,1916-03-26,1916
Copa del Rey,Semi-Finals,"Tue, 13/05/1902",FC Barcelona,Madrid Foot-ball Club,,3:1,FC Barcelona,3,1,4,0.0,1902-05-13,1902
